Тик,Уик,Количество избирателей,Полученные бюллетени,Выданные бюллетени в помещении,Выданные бюллетени вне помещения,Погашенные бюллетени,Число бюллетеней в переносных,Число бюллетеней в стационарных,Недействительные бюллетени,Действительные бюллетени,Утраченные бюллетени,Неучтенные бюллетени,Амосов,Беглов,Тихонова
1,57,2084,1500,604,2,894,2,604,11,595,0,0,134,333,128
1,58,284,300,210,73,17,73,210,3,280,0,0,4,258,18
1,59,1912,1500,445,9,1046,9,444,11,442,0,0,79,291,72
1,60,2167,1700,573,26,1101,26,571,24,573,0,0,81,423,69
1,61,1703,1400,373,13,1014,13,373,7,379,0,0,61,241,77
2,104,1645,1500,465,17,1018,17,464,14,467,0,0,98,266,103
2,105,2097,1500,1012,8,480,8,1011,43,976,0,0,147,663,166
2,106,1531,1500,392,8,1100,8,392,13,387,0,0,122,198,67
2,107,1359,1500,381,7,1112,7,381,18,370,0,0,102,200,68
2,108,1575,1500,405,10,1085,10,405,10,405,0,0,113,207,85
2,109,1607,1500,471,6,1023,6,470,21,455,0,0,126,226,103
2,110,1544,1500,319,10,1171,10,318,15,313,0,0,76,176,61
2,111,1614,1500,342,11,1147,11,342,11,342,0,0,78,189,75
2,112,1739,1500,523,5,972,5,523,6,522,0,0,146,283,93
2,113,1678,1500,470,13,1017,13,469,10,472,0,0,105,283,84
2,114,1973,2000,948,35,1017,35,942,57,920,0,0,210,483,227
2,115,2232,2000,663,14,1323,14,649,27,636,0,0,129,376,131
2,116,2431,2000,558,11,1431,11,558,17,552,0,0,123,318,111
2,117,1808,1500,439,14,1047,14,438,12,440,0,0,109,244,87
2,118,1827,1500,429,6,1065,6,424,11,419,0,0,113,222,84
2,119,2096,1500,603,55,842,55,597,18,634,0,0,158,336,140
2,120,1781,1500,438,8,1054,8,438,8,438,0,0,127,226,85
2,121,1653,1500,512,34,954,34,512,13,533,0,0,123,316,94
2,122,1475,1500,452,6,1042,6,450,13,443,0,0,93,260,90
2,123,1695,1500,398,10,1092,10,396,12,394,0,0,99,206,89
2,124,1901,1500,494,3,1003,3,494,10,487,0,0,137,260,90
2,125,1655,1500,392,5,1103,4,392,14,382,0,0,113,210,59
2,126,1453,1500,459,5,1036,5,457,22,440,0,0,75,266,99
2,127,1679,1500,526,7,967,7,525,15,517,0,0,126,291,100
2,128,2190,2000,560,6,1434,6,560,15,551,0,0,158,278,115
2,129,1678,1500,407,7,1086,7,407,14,400,0,0,82,245,73
2,130,2069,2000,455,6,1539,6,455,12,449,0,0,107,237,105
2,131,1242,1000,375,0,625,0,375,11,364,0,0,112,154,98
2,132,2115,2000,683,10,1307,10,682,19,673,0,0,166,372,135
2,133,2118,2000,632,10,1358,10,632,16,626,0,0,123,372,131
2,134,1954,2500,845,2,1653,2,845,34,813,0,0,141,446,226
2,135,2132,2000,624,6,1370,6,624,21,609,0,0,155,312,142
2,136,1758,1500,605,18,877,18,581,18,581,0,0,137,326,118
2,137,1186,1000,586,7,407,7,586,18,575,0,0,115,351,109
2,138,1793,1500,495,6,999,6,494,15,485,0,0,107,272,106
2,139,1667,1500,557,38,905,38,555,14,579,0,0,117,356,106
2,140,1655,1500,490,12,998,12,489,13,488,0,0,128,275,85
2,141,1859,1500,502,5,993,5,500,12,493,0,0,97,283,113
2,142,1785,1500,527,40,933,40,522,19,543,0,0,107,329,107
2,143,1240,1000,350,4,646,4,346,12,338,0,0,72,198,68
2,144,1661,1500,484,7,1009,7,484,12,479,0,0,108,277,94
2,145,2166,2000,578,7,1415,7,578,23,562,0,0,124,305,133
2,146,1488,1500,301,2,1197,2,300,4,298,0,0,56,177,65
2,147,1955,2000,510,12,1478,12,509,9,512,0,0,106,312,94
2,148,2515,2000,733,22,1245,22,726,13,735,0,0,183,384,168
2,149,1825,1500,577,18,905,18,572,9,581,0,0,131,325,125
2,150,1590,1500,599,18,883,18,598,15,601,0,0,154,332,115
2,151,2043,2000,641,9,1350,9,640,23,626,0,0,145,354,127
2,152,1944,2000,600,10,1390,10,598,28,580,0,0,151,314,115
2,153,2177,2000,694,16,1290,16,685,18,683,0,0,148,401,134
2,154,1805,1500,611,6,883,6,610,28,588,0,0,116,361,111
2,155,1103,1000,377,4,619,4,377,8,373,0,0,73,219,81
2,156,2267,2000,685,5,1310,5,685,26,664,0,0,115,422,127
2,157,1465,1500,464,16,1020,16,464,15,465,0,0,106,282,77
2,158,674,500,241,1,258,1,241,4,238,0,0,53,152,33
2,159,1520,1500,488,6,1006,6,481,12,475,0,0,99,280,96
2,160,1706,1500,538,11,951,11,538,15,534,0,0,117,332,85
2,161,1735,1500,506,13,981,13,506,12,507,0,0,106,293,108
2,162,1528,1500,502,3,995,3,502,13,492,0,0,126,272,94
2,163,1284,1000,318,12,670,12,318,14,316,0,0,64,188,64
2,164,1827,1500,643,10,847,10,633,25,618,0,0,120,393,105
2,165,1831,1500,579,13,908,13,573,17,569,0,0,122,345,102
2,166,1901,2000,584,7,1409,7,584,8,583,0,0,128,356,99
2,167,2182,2000,566,2,1432,2,553,17,538,0,0,183,238,117
2,168,2746,2000,747,6,1247,6,715,15,706,0,0,214,341,151
2,169,1489,1500,479,9,1012,9,479,23,465,0,0,79,295,91
2,170,2305,2000,736,7,1257,7,736,25,718,0,0,195,413,110
2,171,1382,1500,518,43,939,43,518,15,546,0,0,118,326,102
2,172,2078,2000,646,7,1347,7,646,20,633,0,0,154,369,110
2,173,1917,1500,584,17,899,17,584,16,585,0,0,137,320,128
2,174,2147,2000,599,8,1393,8,599,17,590,0,0,160,300,130
2,175,1934,1500,510,13,977,13,510,16,507,0,0,128,303,76
2,176,2235,2000,599,10,1391,9,599,16,592,0,0,111,355,126
2,177,2062,2000,584,80,1336,79,582,14,647,0,0,151,380,116
2,178,1977,2000,546,198,1256,196,546,26,716,0,0,199,371,146
2,179,2384,2000,614,9,1377,9,613,23,599,0,0,182,280,137
2,180,1190,1000,366,0,634,0,366,12,354,0,0,86,158,110
2,181,1402,1000,348,0,652,0,347,9,338,0,0,74,170,94
2,182,1555,1500,436,1,1063,1,436,16,421,0,0,134,185,102
2,183,2017,1500,538,1,961,1,538,14,525,0,0,170,176,179
2,184,123,200,107,0,93,0,107,0,107,0,0,5,86,16
2,185,242,800,0,220,580,220,0,2,218,0,0,35,150,33
2,186,436,800,90,346,364,346,90,0,436,0,0,56,368,12
2,2306,421,500,419,2,79,2,419,0,421,0,0,50,363,8
2,2307,179,250,116,17,117,17,116,4,129,0,0,3,118,8
2,2308,300,300,287,13,0,13,287,5,295,0,0,11,269,15
2,2309,335,400,248,47,105,47,248,3,292,0,0,23,241,28
2,2310,134,150,123,0,27,0,123,3,120,0,0,8,108,4
2,2311,375,500,255,12,233,12,255,7,260,0,0,15,234,11
2,2312,220,300,193,27,80,27,193,5,215,0,0,23,179,13
2,2313,281,300,191,15,94,15,191,2,204,0,0,27,156,21
2,2376,260,450,250,10,190,10,250,4,256,0,0,19,219,18
2,2377,208,250,165,3,82,3,165,2,166,0,0,4,155,7
3,576,1805,1500,466,9,1025,9,463,19,453,0,0,93,255,105
3,577,1735,1500,425,61,1014,61,425,15,471,0,0,97,279,95
3,578,1645,1500,344,14,1142,14,344,6,352,0,0,72,197,83
3,579,1708,1500,456,3,1041,3,454,16,441,0,0,106,261,74
3,580,2069,1500,426,6,1068,6,426,12,420,0,0,83,246,91
3,581,1874,1500,458,1,1041,1,456,9,448,0,0,101,273,74
3,582,1580,1000,535,18,447,18,534,31,521,0,0,95,347,79
3,583,2089,2000,505,13,1482,13,505,14,504,0,0,75,348,81
3,584,2045,2000,430,8,1562,8,429,10,427,0,0,73,276,78
3,585,1773,1500,485,6,1009,6,485,20,471,0,0,92,283,96
3,586,1542,1100,452,5,643,5,447,10,442,0,0,30,367,45
3,587,1527,2000,583,31,1386,31,552,19,564,0,0,91,414,59
3,588,1771,1500,538,6,956,6,518,22,502,0,0,72,337,93
3,589,1868,1500,561,8,931,8,553,23,538,0,0,69,380,89
3,590,1046,1000,335,0,665,0,317,14,303,0,0,37,187,79
3,591,2271,2000,740,13,1247,13,734,51,696,0,0,92,488,116
3,592,1338,1000,338,6,656,6,337,5,338,0,0,81,187,70
3,593,2318,2000,580,5,1415,5,580,22,563,0,0,131,315,117
3,594,1443,1100,389,11,700,11,389,16,384,0,0,114,207,63
3,595,1398,1100,373,14,713,14,373,5,382,0,0,84,226,72
3,596,1629,1500,426,9,1065,9,426,13,422,0,0,100,261,61
3,597,2035,2000,454,10,1536,10,452,13,449,0,0,82,279,88
3,598,2179,2000,513,13,1474,13,512,6,519,0,0,126,293,100
3,599,1297,1000,309,5,686,5,308,3,310,0,0,65,173,72
3,600,1033,1000,283,1,716,1,283,9,275,0,0,58,157,60
3,601,1486,1200,328,11,861,11,328,10,329,0,0,98,172,59
3,602,1436,1100,345,5,750,5,345,3,347,0,0,58,201,88
3,603,2543,2000,588,13,1399,13,587,22,578,0,0,134,330,114
3,604,2604,2000,683,17,1300,17,679,21,675,0,0,109,426,140
3,605,1493,1500,422,11,1067,11,422,15,418,0,0,88,246,84
3,606,1485,1100,401,3,696,3,400,10,393,0,0,91,224,78
3,607,1552,1500,372,11,1117,11,372,9,374,0,0,68,236,70
3,608,1616,1500,383,3,1114,3,383,18,368,0,0,38,251,79
3,609,1531,1500,353,9,1138,9,353,10,352,0,0,54,224,74
3,610,1427,1500,365,7,1128,7,365,9,363,0,0,55,239,69
3,611,1717,1500,472,5,1023,5,470,21,454,0,0,82,284,88
3,612,1591,1500,375,11,1114,11,375,6,380,0,0,35,300,45
3,613,1468,1500,427,8,1065,8,427,12,423,0,0,63,281,79
3,614,1570,1500,377,6,1117,6,377,15,368,0,0,75,228,65
3,615,1465,1500,380,4,1116,4,379,14,369,0,0,31,299,39
3,616,2547,2000,682,12,1306,12,678,30,660,0,0,120,430,110
3,617,2479,2000,583,9,1408,9,583,14,578,0,0,83,424,71
3,618,2015,2000,516,11,1473,11,507,14,504,0,0,86,340,78
3,619,2448,2500,547,7,1946,7,547,14,540,0,0,105,378,57
3,620,2291,2000,603,12,1385,12,599,14,597,0,0,89,439,69
3,621,1680,1500,398,29,1073,29,396,14,411,0,0,63,273,75
3,622,1747,1500,497,11,992,11,497,10,498,0,0,59,376,63
3,623,1684,1500,499,7,994,7,499,18,488,0,0,58,365,65
3,624,1862,1500,468,6,1026,6,468,14,460,0,0,87,284,89
3,625,1805,1500,463,7,1030,7,463,12,458,0,0,66,302,90
3,626,1589,1500,402,9,1089,9,402,9,402,0,0,53,296,53
3,627,1615,1500,402,3,1095,3,402,0,405,0,0,52,303,50
3,628,1983,2000,500,11,1489,11,500,20,491,0,0,58,383,50
3,629,2051,1500,476,14,1010,14,468,14,468,0,0,65,327,76
3,630,1796,1500,465,9,1026,9,465,15,459,0,0,69,318,72
3,631,1676,2000,550,5,1445,5,547,19,533,0,0,98,367,68
3,632,2195,2000,561,11,1428,11,556,31,536,0,0,51,424,61
3,645,250,250,28,189,33,189,28,5,212,0,0,20,171,21
4,901,1145,1000,218,5,777,5,218,2,221,0,0,19,163,39
4,902,2041,1500,528,12,960,12,528,9,531,0,0,56,358,117
4,903,2378,2000,601,40,1359,40,601,22,619,0,0,105,394,120
4,904,2354,2000,623,13,1364,13,623,33,603,0,0,96,390,117
4,905,2708,2500,700,36,1764,36,700,23,713,0,0,117,417,179
4,906,1885,1500,621,60,819,60,561,12,609,0,0,104,372,133
4,907,2075,1500,600,72,828,72,600,5,667,0,0,94,453,120
4,908,1560,1000,432,83,485,83,432,8,507,0,0,62,357,88
4,909,2168,1500,690,54,756,54,690,30,714,0,0,122,421,171
4,910,1685,1000,426,18,556,18,425,9,434,0,0,71,278,85
4,911,1644,1000,465,102,433,102,465,5,562,0,0,69,382,111
4,912,1707,1000,498,40,462,40,498,12,526,0,0,71,360,95
4,913,1930,1500,543,39,918,39,543,15,567,0,0,80,358,129
4,914,1722,1500,490,17,993,17,490,11,496,0,0,66,318,112
4,915,1957,1500,586,53,861,53,586,11,628,0,0,91,402,135
4,916,1498,1000,413,24,563,24,412,14,422,0,0,62,292,68
4,917,1623,1000,497,70,433,70,496,14,552,0,0,90,370,92
4,918,1684,1500,446,49,1005,49,446,16,479,0,0,81,306,92
4,919,1770,1500,651,73,776,73,650,14,709,0,0,116,474,119
4,920,1880,1500,510,86,904,85,503,11,577,0,0,94,352,131
4,921,1918,1500,640,48,812,48,640,25,663,0,0,127,402,134
4,922,2168,1500,494,43,963,43,494,15,522,0,0,83,329,110
4,923,2094,1500,546,6,948,6,544,17,533,0,0,105,333,95
4,924,1951,1500,531,14,955,14,530,13,531,0,0,107,327,97
4,925,2492,2000,772,19,1209,19,772,21,770,0,0,176,415,179
4,926,2025,1500,671,22,807,22,670,13,679,0,0,148,413,118
4,927,1919,1500,524,8,968,8,524,17,515,0,0,108,286,121
4,928,1761,1500,467,5,1028,5,466,19,452,0,0,96,267,89
4,929,1972,1500,504,9,987,9,504,15,498,0,0,82,313,103
4,930,1867,1500,499,60,941,60,499,20,539,0,0,105,334,100
4,931,2002,1500,677,12,811,12,674,25,661,0,0,116,418,127
4,932,1870,1500,611,8,881,8,611,21,598,0,0,93,380,125
4,933,2037,1500,551,22,927,22,551,14,559,0,0,92,358,109
4,934,1905,1500,480,17,1003,17,480,15,482,0,0,60,332,90
4,935,1861,1500,458,10,1032,10,456,11,455,0,0,74,292,89
4,936,1949,1500,625,19,856,19,625,24,620,0,0,81,398,141
4,937,2178,1500,649,14,837,14,649,23,640,0,0,110,437,93
4,938,1905,1500,481,37,982,37,481,17,501,0,0,53,335,113
4,939,2419,2000,586,12,1402,12,586,26,572,0,0,66,384,122
4,940,2075,2000,840,16,1144,16,839,80,775,0,0,121,479,175
4,941,2455,2000,750,12,1238,12,749,21,740,0,0,159,439,142
4,942,1519,1000,431,10,559,10,431,13,428,0,0,91,257,80
4,943,2036,1500,576,9,915,9,576,16,569,0,0,147,310,112
4,944,2419,2000,785,24,1191,24,784,14,794,0,0,174,465,155
4,945,2219,2000,761,9,1230,9,760,36,733,0,0,170,373,190
4,946,1565,1000,408,8,584,8,407,12,403,0,0,108,204,91
4,947,1580,1000,427,3,570,3,427,6,424,0,0,129,224,71
4,948,1410,1000,389,9,602,9,389,8,390,0,0,94,231,65
4,949,1505,1000,395,6,599,6,393,13,386,0,0,83,224,79
4,950,2292,1500,648,19,833,19,644,19,644,0,0,106,418,120
4,951,1703,1500,508,9,983,9,508,16,501,0,0,113,293,95
4,952,1936,1500,595,14,891,14,595,12,597,0,0,104,375,118
4,953,1811,1500,606,8,886,8,606,16,598,0,0,97,402,99
4,954,1739,1500,540,16,944,16,524,8,532,0,0,98,337,97
4,955,1517,1000,448,12,540,12,448,15,445,0,0,92,256,97
4,956,2077,1500,541,13,946,13,540,18,535,0,0,84,354,97
4,957,2243,2000,680,19,1301,19,678,24,673,0,0,124,449,100
4,958,1694,1000,625,1,374,1,625,30,596,0,0,101,245,250
4,959,37,500,37,0,463,0,37,0,37,0,0,2,35,0
4,960,2843,2500,825,9,1666,9,823,15,817,0,0,100,403,314
4,961,2661,2000,789,3,1208,3,789,13,779,0,0,95,337,347
4,962,2371,1500,595,24,881,17,595,14,598,0,0,58,319,221
4,963,2664,2000,668,25,1307,25,667,10,682,0,0,89,355,238
4,964,205,700,40,165,495,165,40,1,204,0,0,21,150,33
4,965,355,700,62,274,364,274,62,7,329,0,0,31,252,46
5,1422,1797,1700,480,4,1216,4,480,13,471,0,0,57,337,77
5,1423,1945,1800,495,10,1295,10,495,18,487,0,0,57,353,77
5,1424,1814,1700,320,1,1379,1,320,6,315,0,0,45,225,45
5,1425,1934,1800,405,12,1383,12,405,13,404,0,0,58,286,60
5,1426,2037,1900,399,13,1488,13,398,11,400,0,0,59,281,60
5,1427,1921,1800,437,4,1359,4,433,16,421,0,0,48,306,67
5,1428,2433,2200,735,8,1457,8,733,21,720,0,0,100,490,130
5,1429,2253,2100,537,13,1550,13,537,10,540,0,0,74,374,92
5,1430,2065,1900,545,11,1344,11,544,24,531,0,0,85,342,104
5,1431,1644,1500,370,6,1124,6,370,11,365,0,0,50,257,58
5,1432,2262,2000,516,13,1471,13,503,21,495,0,0,37,401,57
5,1433,2207,2000,444,3,1553,3,442,15,430,0,0,58,305,67
5,1434,2034,1900,480,11,1409,11,480,18,473,0,0,59,335,79
5,1435,2033,1800,460,4,1336,4,460,15,449,0,0,48,325,76
5,1436,2074,1900,523,4,1373,4,523,15,512,0,0,65,373,74
5,1437,2336,2200,607,5,1588,5,603,15,593,0,0,108,362,123
5,1438,1878,1700,533,2,1165,2,533,0,535,0,0,50,392,93
5,1439,2254,2100,581,4,1515,4,581,22,563,0,0,77,377,109
5,1440,1864,1700,490,11,1199,11,490,16,485,0,0,69,328,88
5,1441,2396,2200,705,12,1483,12,705,3,714,0,0,99,536,79
5,1442,2458,2300,765,12,1523,12,753,20,745,0,0,102,545,98
5,1443,2002,1800,582,3,1215,3,582,10,575,0,0,105,345,125
5,1444,1842,1600,488,3,1109,3,488,0,491,0,0,40,368,83
5,1445,1895,1700,560,15,1125,15,559,13,561,0,0,115,339,107
5,1446,2063,1800,525,4,1271,4,524,10,518,0,0,72,379,67
5,1447,2050,1800,461,15,1324,15,450,12,453,0,0,80,278,95
5,1448,2228,2100,578,12,1510,12,568,19,561,0,0,114,343,104
5,1449,1993,1900,519,9,1372,9,519,11,517,0,0,88,339,90
5,1450,1845,1700,520,7,1173,7,519,13,513,0,0,79,333,101
5,1451,1970,1800,397,15,1388,15,396,7,404,0,0,50,279,75
5,1452,1841,1700,487,8,1205,8,487,13,482,0,0,42,350,90
5,1453,2215,2000,438,11,1551,11,432,10,433,0,0,68,269,96
5,1454,1995,1900,540,12,1348,12,537,9,540,0,0,80,347,113
5,1455,2503,2100,512,58,1530,58,511,19,550,0,0,67,399,84
5,1456,2248,2100,501,7,1592,7,501,18,490,0,0,92,295,103
5,1457,2325,2200,587,10,1603,10,585,17,578,0,0,60,425,93
5,1458,2285,2100,602,9,1489,9,602,17,594,0,0,31,487,76
5,1459,2517,2400,600,21,1779,21,600,14,607,0,0,93,420,94
5,1460,1876,1700,404,7,1289,7,404,7,404,0,0,25,343,36
5,1461,1864,1700,437,17,1246,17,437,19,435,0,0,52,328,55
5,1462,1968,1800,464,12,1324,12,464,11,465,0,0,92,265,108
5,1463,2033,1800,478,4,1318,4,476,13,467,0,0,91,271,105
5,1464,1902,1700,461,5,1234,5,461,8,458,0,0,31,392,35
5,1465,2041,1900,505,7,1388,7,505,12,500,0,0,60,362,78
5,1466,2970,2800,599,5,2196,5,593,8,590,0,0,76,413,101
5,1467,2123,1900,493,6,1401,6,493,30,469,0,0,62,330,77
5,1468,2129,1900,501,15,1384,15,501,13,503,0,0,71,337,95
5,1469,2468,2200,590,11,1599,11,590,17,584,0,0,113,370,101
5,1470,2382,2300,734,15,1551,15,734,20,729,0,0,51,512,166
5,1471,2351,2100,560,28,1512,28,556,17,567,0,0,86,388,93
5,1472,1913,1700,463,9,1228,9,462,7,464,0,0,57,335,72
5,1473,2286,2100,535,5,1560,5,535,17,523,0,0,70,380,73
5,1474,2299,2100,561,12,1527,12,558,12,558,0,0,91,402,65
5,1475,2323,2200,531,6,1663,6,531,12,525,0,0,97,321,107
5,1476,2720,2600,619,1,1980,1,618,14,605,0,0,161,284,160
5,1477,2165,1900,524,2,1374,2,524,12,514,0,0,117,222,175
5,1478,2499,2300,660,3,1637,3,657,17,643,0,0,98,414,131
5,1479,2505,2400,597,10,1793,10,596,13,593,0,0,70,430,93
5,1480,2656,2500,668,17,1815,17,651,19,649,0,0,72,508,69
5,1481,2514,2300,529,15,1756,15,529,9,535,0,0,69,383,83
5,1482,1901,1500,492,10,998,10,492,9,493,0,0,58,397,38
5,1483,1732,1600,406,6,1188,6,405,11,400,0,0,44,287,69
5,1484,1656,1500,422,10,1068,10,417,16,411,0,0,51,306,54
5,1485,1852,1600,490,10,1100,10,490,14,486,0,0,78,316,92
5,1486,1938,1800,498,12,1290,12,498,15,495,0,0,87,317,91
5,1487,2245,2100,547,6,1547,6,547,10,543,0,0,83,389,71
5,1488,2111,1900,556,6,1338,6,556,11,551,0,0,91,364,96
5,1489,1910,1800,487,8,1305,8,483,14,477,0,0,60,350,67
5,1490,2269,2100,631,16,1453,16,631,22,625,0,0,126,372,127
5,1491,2073,1900,439,2,1459,2,437,14,425,0,0,71,277,77
5,1492,2319,2100,529,13,1558,13,528,11,530,0,0,86,355,89
5,1493,1919,1900,507,10,1383,10,507,20,497,0,0,51,365,81
5,1494,2137,2000,565,8,1427,8,565,19,554,0,0,69,425,60
5,1495,2110,1900,977,15,908,15,977,11,981,0,0,91,798,92
5,1496,2325,2200,920,10,1270,8,920,6,922,0,0,100,692,130
5,1497,2409,2200,598,5,1597,5,598,15,588,0,0,67,450,71
5,1498,2086,2000,641,11,1348,11,639,11,639,0,0,74,490,75
5,1499,2251,2000,628,6,1366,6,627,24,609,0,0,98,481,30
5,1500,2206,2100,569,8,1523,8,567,19,556,0,0,69,404,83
5,1501,2122,2000,553,17,1430,17,553,14,556,0,0,86,357,113
5,1502,2120,2000,469,6,1525,6,469,13,462,0,0,54,325,83
5,1503,1994,1900,464,13,1423,13,464,16,461,0,0,55,335,71
5,1504,2273,2100,579,7,1514,7,579,27,559,0,0,66,415,78
5,1505,2250,2200,547,13,1640,13,546,14,545,0,0,72,386,87
5,1506,1873,1800,585,5,1210,5,584,22,567,0,0,61,428,78
5,1507,1843,1800,484,7,1309,7,480,13,474,0,0,37,363,74
5,1508,793,1200,707,26,467,26,707,41,692,0,0,61,558,73
5,1509,2676,2500,712,4,1784,4,712,18,698,0,0,119,419,160
5,1510,2398,2200,623,8,1569,8,623,23,608,0,0,85,392,131
5,1511,2124,2000,523,10,1467,10,521,10,521,0,0,69,377,75
5,1512,2570,2300,678,16,1606,16,676,16,676,0,0,90,498,88
5,1513,2338,2200,581,11,1608,11,581,12,580,0,0,79,406,95
5,1514,1834,1800,517,4,1279,4,514,10,508,0,0,60,357,91
5,1515,2038,1800,525,7,1268,7,523,24,506,0,0,65,354,87
5,1516,2187,2100,472,5,1623,5,472,13,464,0,0,34,388,42
5,1517,2740,2600,826,5,1769,5,826,18,813,0,0,114,583,116
5,1518,2590,2500,668,6,1826,6,668,24,650,0,0,134,388,128
5,1519,2400,2300,656,10,1634,10,653,23,640,0,0,98,452,90
5,1520,2334,2200,498,20,1682,20,498,17,501,0,0,68,362,71
5,1521,1717,1600,448,7,1145,7,448,8,447,0,0,70,317,60
5,1522,2193,2000,680,3,1317,3,679,20,662,0,0,119,390,153
5,1523,2249,2100,749,3,1348,3,749,24,728,0,0,98,509,121
5,1524,2321,2100,587,2,1511,2,583,20,565,0,0,102,345,118
5,1525,2473,2300,655,4,1641,4,655,19,640,0,0,110,396,134
5,1526,2862,2700,831,4,1865,4,831,18,817,0,0,104,586,127
5,1527,2460,2300,661,5,1634,5,656,21,640,0,0,134,376,130
5,1528,2313,2200,560,0,1640,0,560,11,549,0,0,50,442,57
5,1529,2415,2300,714,8,1578,8,714,18,704,0,0,94,509,101
5,1530,2541,2400,699,5,1696,5,699,23,681,0,0,67,533,81
5,1531,2291,2300,588,7,1705,7,588,15,580,0,0,27,498,55
5,1532,2792,2700,695,4,2001,4,689,19,674,0,0,99,473,102
5,1533,2399,2300,525,2,1773,2,525,15,512,0,0,86,244,182
5,1534,2741,2600,672,1,1927,1,672,27,646,0,0,113,322,211
5,1535,1647,1400,437,2,961,2,437,11,428,0,0,21,359,48
5,1536,2497,2400,675,5,1720,5,671,20,656,0,0,74,479,103
5,1537,1103,900,244,3,653,3,244,6,241,0,0,19,198,24
